[INFO] [1783994318.057703739] [apriltag.apriltag]: camera_diag: img_age=0.066350s, ci_age=0.066350s, img_ci_skew=0.000000s, detect_ms=6.131573, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->bridge], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994319.059296806] [apriltag.apriltag]: camera_diag: img_age=0.067597s, ci_age=0.067597s, img_ci_skew=0.000000s, detect_ms=5.614092, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->bridge], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994320.059232462] [apriltag.apriltag]: camera_diag: img_age=0.067067s, ci_age=0.067067s, img_ci_skew=0.000000s, detect_ms=5.321602, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->bridge], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994321.059409192] [apriltag.apriltag]: camera_diag: img_age=0.066392s, ci_age=0.066392s, img_ci_skew=0.000000s, detect_ms=5.578137, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->bridge], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994322.057924753] [apriltag.apriltag]: camera_diag: img_age=0.066417s, ci_age=0.066417s, img_ci_skew=0.000000s, detect_ms=3.314377, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->bridge], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994323.059807359] [apriltag.apriltag]: camera_diag: img_age=0.066612s, ci_age=0.066612s, img_ci_skew=0.000000s, detect_ms=4.247973, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->bridge], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994324.060421863] [apriltag.apriltag]: camera_diag: img_age=0.066411s, ci_age=0.066411s, img_ci_skew=0.000000s, detect_ms=3.934999, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->bridge], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994325.063901032] [apriltag.apriltag]: camera_diag: img_age=0.069575s, ci_age=0.069575s, img_ci_skew=0.000000s, detect_ms=3.891622, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->bridge], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994326.130571322] [apriltag.apriltag]: camera_diag: img_age=0.068086s, ci_age=0.068086s, img_ci_skew=0.000000s, detect_ms=4.368990, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->bridge], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994327.198175172] [apriltag.apriltag]: camera_diag: img_age=0.067860s, ci_age=0.067860s, img_ci_skew=0.000000s, detect_ms=4.742624, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->bridge], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
