[INFO] [1783903999.209855169] [orange_hurdle_jump_test]: state=DETECTOR_ONLY
[INFO] [1783904012.536794788] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=197, mask_px=15, contours=1, largest=area:8,box:5x3,aspect:1.67,reject:area+width+height, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904012.807046440] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=201, mask_px=0, contours=0, reject=no_hsv_blob, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904013.005445948] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=204, mask_px=15, contours=1, largest=area:8,box:5x3,aspect:1.67,reject:area+width+height, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904013.270701386] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=208, mask_px=0, contours=0, reject=no_hsv_blob, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904013.538631854] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=212, mask_px=0, contours=0, reject=no_hsv_blob, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904013.804974223] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=216, mask_px=0, contours=0, reject=no_hsv_blob, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904014.004499853] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=219, mask_px=0, contours=0, reject=no_hsv_blob, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904014.271690474] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=223, mask_px=0, contours=0, reject=no_hsv_blob, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904014.537983941] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=227, mask_px=0, contours=0, reject=no_hsv_blob, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904014.806163492] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=231, mask_px=36, contours=1, largest=area:24,box:4x9,aspect:0.44,reject:area+width+height+aspect, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904015.008506763] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=234, mask_px=0, contours=0, reject=no_hsv_blob, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904015.205433900] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=237, mask_px=0, contours=0, reject=no_hsv_blob, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904015.406377570] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=240, mask_px=0, contours=0, reject=no_hsv_blob, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904015.672864875] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=244, mask_px=18, contours=1, largest=area:10,box:6x3,aspect:2.00,reject:area+width+height, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904015.872352813] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=247, mask_px=0, contours=0, reject=no_hsv_blob, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904016.138922664] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=251, mask_px=20, contours=1, largest=area:12,box:4x5,aspect:0.80,reject:area+width+height+aspect, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904016.338948802] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=254, mask_px=0, contours=0, reject=no_hsv_blob, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904016.539740668] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=257, mask_px=30, contours=1, largest=area:20,box:6x5,aspect:1.20,reject:area+width+height+aspect, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904016.740161184] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=260, mask_px=0, contours=0, reject=no_hsv_blob, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904016.940348110] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=263, mask_px=0, contours=0, reject=no_hsv_blob, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904017.206983039] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=267, mask_px=18, contours=1, largest=area:10,box:6x3,aspect:2.00,reject:area+width+height, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904017.407133224] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=270, mask_px=30, contours=1, largest=area:20,box:6x5,aspect:1.20,reject:area+width+height+aspect, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904017.611051642] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=273, mask_px=30, contours=1, largest=area:20,box:6x5,aspect:1.20,reject:area+width+height+aspect, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904017.873904622] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=277, mask_px=0, contours=0, reject=no_hsv_blob, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904018.074252475] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=280, mask_px=0, contours=0, reject=no_hsv_blob, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904018.341608316] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=284, mask_px=57, contours=1, largest=area:42,box:9x7,aspect:1.29,reject:area+width+height, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904018.542543743] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=287, mask_px=0, contours=0, reject=no_hsv_blob, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904018.811845593] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=291, mask_px=222, contours=3, largest=area:154,box:16x14,aspect:1.14,reject:area+width+height+aspect, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904019.074909525] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=295, mask_px=0, contours=0, reject=no_hsv_blob, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904019.275944742] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=298, mask_px=0, contours=0, reject=no_hsv_blob, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904019.475055746] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=301, mask_px=0, contours=0, reject=no_hsv_blob, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904019.744835258] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=305, mask_px=45, contours=1, largest=area:28,box:3x15,aspect:0.20,reject:area+width+height+aspect, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904020.009493065] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=309, mask_px=0, contours=0, reject=no_hsv_blob, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904020.209730470] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=312, mask_px=0, contours=0, reject=no_hsv_blob, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904020.475902518] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=316, mask_px=0, contours=0, reject=no_hsv_blob, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904020.676374942] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=319, mask_px=0, contours=0, reject=no_hsv_blob, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904020.876468306] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=322, mask_px=0, contours=0, reject=no_hsv_blob, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904021.076469170] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=325, mask_px=0, contours=0, reject=no_hsv_blob, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904021.343599219] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=329, mask_px=0, contours=0, reject=no_hsv_blob, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904021.543301746] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=332, mask_px=0, contours=0, reject=no_hsv_blob, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904021.743611231] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=335, mask_px=20, contours=1, largest=area:12,box:4x5,aspect:0.80,reject:area+width+height+aspect, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
[INFO] [1783904021.943826920] [orange_hurdle_jump_test]: [0;33m未检测到有效橘色横栏: candidates=0, frame=338, mask_px=36, contours=1, largest=area:24,box:6x7,aspect:0.86,reject:area+width+height+aspect, hsv_lower=[28, 40, 35], hsv_upper=[95, 255, 255][0m
